 2.285599e+00 -3.293584e+01  2.285599e+00 -7.067424e-06 
 2.290868e+00 -3.293584e+01  2.290868e+00 -7.083716e-06 
 2.296149e+00 -3.293584e+01  2.296149e+00 -7.100045e-06 
 2.301442e+00 -3.293584e+01  2.301442e+00 -7.116413e-06 
 2.306747e+00 -3.293584e+01  2.306747e+00 -7.132818e-06 
 2.312065e+00 -3.293584e+01  2.312065e+00 -7.149260e-06 
 2.317395e+00 -3.293584e+01  2.317395e+00 -7.165741e-06 
 2.322737e+00 -3.293584e+01  2.322737e+00 -7.182260e-06 
 2.328091e+00 -3.293584e+01  2.328091e+00 -7.198817e-06 
 2.333458e+00 -3.293584e+01  2.333458e+00 -7.215412e-06 
 2.338837e+00 -3.293584e+01  2.338837e+00 -7.232045e-06 
 2.344229e+00 -3.293584e+01  2.344229e+00 -7.248717e-06 
 2.349633e+00 -3.293584e+01  2.349633e+00 -7.265427e-06 
 2.355049e+00 -3.293584e+01  2.355049e+00 -7.282175e-06 
 2.360478e+00 -3.293584e+01  2.360478e+00 -7.298962e-06 
 2.365920e+00 -3.293584e+01  2.365920e+00 -7.315788e-06 
 2.371374e+00 -3.293584e+01  2.371374e+00 -7.332653e-06 
 2.376840e+00 -3.293584e+01  2.376840e+00 -7.349556e-06 
 2.382319e+00 -3.293584e+01  2.382319e+00 -7.366499e-06 
 2.387811e+00 -3.293584e+01  2.387811e+00 -7.383480e-06 
 2.393316e+00 -3.293584e+01  2.393316e+00 -7.400501e-06 
 2.398833e+00 -3.293584e+01  2.398833e+00 -7.417561e-06 
 2.404363e+00 -3.293584e+01  2.404363e+00 -7.434660e-06 
 2.409905e+00 -3.293584e+01  2.409905e+00 -7.451799e-06 
 2.415461e+00 -3.293584e+01  2.415461e+00 -7.468977e-06 
 2.421029e+00 -3.293584e+01  2.421029e+00 -7.486195e-06 
 2.426610e+00 -3.293584e+01  2.426610e+00 -7.503452e-06 
 2.432204e+00 -3.293584e+01  2.432204e+00 -7.520749e-06 
 2.437811e+00 -3.293584e+01  2.437811e+00 -7.538087e-06 
